crop,year,area,msp,yields
rice,2014-15,15759,1360,378216
rice,2015-16,15987,1414,383688
rice,2016-17,15747,1470,377928
rice,2017-18,15958,1550,382992
rice,2018-19,15848,1750,380352
maize,2014-15,1199,1310,29975
maize,2015-16,1227,1325,30675
maize,2016-17,1325,1365,33125
maize,2017-18,1369,1425,34225
maize,2018-19,951,1700,23775
greengram,2014-15,45,4600,225
greengram,2015-16,40,4850,200
greengram,2016-17,51,5225,255
greengram,2017-18,40,5575,200
greengram,2018-19,38,6975,190
redgram,2014-15,27,3175,168
red gram,2015-16,12,3500,72
red gram,2016-17,16,4000,80
red gram,2017-18,33,4400,165
red gram,2018-19,30,4600,150
cotton,2014-15,183,3750,1098
cotton,2015-16,176,3800,1056
cotton,2016-17,135,3860,810
cotton,2017-18,157,4020,942
cotton,2018-19,79,5150,474
turmeric,2014-15,3,2,30
turmeric,2015-16,7,2,70
turmeric,2016-17,2,2,20
turmeric,2017-18,3,2,30
turmeric,2018-19,6,2,60
sugarcane,2014-15,2627,220,525400
sugarcane,2015-16,1863,230,372600
sugarcane,2016-17,1711,230,342200
sugarcane,2017-18,1448,255,289600
sugarcane,2018-19,1266,275,253200
mango,2014-15,3408,10000,51015
mango,2015-16,2527,10100,37905
mango,2016-17,2092,11000,31380
mango,2017-18,1829,11500,87435
mango,2018-19,1627,13000,24405
cashew nut,2014-15,284,10000,568
cashew nut,2015-16,254,11000,508
cashew nut,2016-17,223,12000,446
cashew nut,2017-18,226,13000,452
cashew nut,2018-19,189,19000,378
banana,2014-15,116,6000,18560
banana,2015-16,235,7000,43600
banana,2016-17,76,9000,12160
banana,2017-18,70,10000,11200
banana,2018-19,36,15000,5760
guava,2014-15,176,9000,1760
guava,2015-16,242,9500,2420
guava,2016-17,302,9600,3020
guava,2017-18,345,9700,3450
guava,2018-19,363,10000,3630
lemon,2014-15,49,15000,245
lemon,2015-16,54,15500,270
lemon,2016-17,67,16000,335
lemon,2017-18,95,17000,475
lemon,2018-19,95,17500,475
coconut,2014-15,188,1450,56400
coconut,2015-16,169,1500,50700
coconut,2016-17,137,1600,41100
coconut,2017-18,152,1760,45600
coconut,2018-19,155,2030,46100
sapota,2014-15,21,6000,840
sapota,2015-16,79,5000,3160
sapota,2016-17,68,5500,2720
sapota,2017-18,74,6200,2960
sapota,2018-19,70,6500,2800
palmoil,2014-15,1487,30000,386620
palmoil,2015-16,1792,35000,465920
palmoil,2016-17,1866,36000,485160
palmoil,2017-18,1915,38000,497900
palmoil,2018-19,1955,40000,508300
eukalptus,2014-15,2003,8000,460690
eukalptus,2015-16,2548,8500,586040
eukalytus,2016-17,2585,9000,594550
eukalytus,2017-18,2664,9500,612720
eukalytus,2018-19,2668,10000,613640
malbari,2014-15,5,90000,2250
malbari,2015-16,5,80000,2850
malbari,2016-17,19,60000,8550
malbari,2017-18,17,85000,7650
malbari,2018-19,19,90000,8559
chedu vepa,2014-15,15,56000,3750
chedu vepa,2015-16,15,59000,3750
chedu vepa,2016-17,15,65000,3750
chedu vepa,2017-18,19,67000,4750
chedu vepa,2018-19,19,75000,4750
tekku,2014-15,25,150000,10
tekku,2015-16,32,160000,10
tekku,2016-17,34,175000,10
tekku,2017-18,40,189000,10
tekku,2018-19,40,190000,10
errachandanam,2014-15,5,150000,10
errachandanam,2015-16,5,160000,10
errachandanam,2016-17,9,190000,10
errachandanam,2017-18,10,195000,10
errachandanam,2018-19,12,209000,10
